Datei,Zeilen,Status
genesis-orchestrator/fastapi-backend/app/proto/__init__.py,7,REAL
genesis-orchestrator/fastapi-backend/app/proto/telemetry_pb2.py,51,REAL
genesis-orchestrator/fastapi-backend/app/services/__init__.py,1,REAL
genesis-orchestrator/fastapi-backend/app/services/gemini_service.py,68,REAL
genesis-orchestrator/fastapi-backend/app/services/neo4j_service.py,74,REAL
genesis-orchestrator/fastapi-backend/requirements.txt,11,REAL
genesis-orchestrator/proto/telemetry.proto,90,REAL
genesis-orchestrator/scripts/generate_proto.py,34,REAL
index.html,16,REAL
mcp/bridge.mjs,634,REAL
mcp/list-tools.mjs,86,REAL
mcp/mcp.json,34,REAL
mobile-server/ble_adapter.py,269,STUB
mobile-server/bleak_token.py,304,REAL
mobile-server/data/whitelist.json,41,REAL
mobile-server/discovery.py,354,REAL
mobile-server/gateway.py,878,REAL
mobile-server/gw_config.py,286,REAL
mobile-server/honeywell.py,470,REAL
mobile-server/honeywell_keys.py,249,REAL
mobile-server/importer.py,646,REAL
mobile-server/keys.example.json,39,REAL
mobile-server/mobile_ble_server.py,948,REAL
mobile-server/nfc_reader.py,249,REAL
mobile-server/requirements-nfc.txt,5,REAL
mobile-server/requirements.txt,23,REAL
mobile-server/tests/test_gateway.py,613,REAL
package-lock.json,6810,REAL
package.json,66,REAL
postcss.config.js,6,REAL
public/demo/packs/cinem-lut-filter.json,13,REAL
public/demo/packs/dgs-demo-pack.json,43,REAL
public/demo/packs/hall-reverb.jsfx,13,REAL
public/demo/packs/werkhof-dark.css,28,REAL
public/demo/seite/index.html,43,REAL
public/devicecontrol/rom_database.json,163,REAL
public/devicecontrol/supported_devices.json,106,REAL
public/devicecontrol/usb_vendors.json,43,REAL
public/manifest.webmanifest,18,REAL
public/sw.js,83,REAL
public/vite.svg,15,REAL
public/wasm/README.txt,1,PLACEHOLDER
scripts/fetch-android-tools.sh,165,REAL
src/App.css,12,REAL
src/App.tsx,15,REAL
src/components/AdvancedResearchChat.tsx,1095,MOCK
src/components/AgentConsole.tsx,524,REAL
src/components/AgentGalleryPanel.tsx,355,REAL
src/components/AppChrome.tsx,52,REAL
src/components/AssetGrabberPanel.tsx,514,REAL
src/components/DevicePortViewPanel.tsx,257,REAL
src/components/FlashCenterPanel.tsx,418,REAL
src/components/KnowledgeBasePanel.tsx,322,REAL
src/components/LiveDashboardPanel.tsx,377,REAL
src/components/LiveStatusStrip.tsx,93,REAL
src/components/McpServerPanel.tsx,306,REAL
src/components/MeshControl.tsx,80,MOCK
src/components/MoEChatInterface.tsx,690,MOCK
src/components/NetworkDashboard.tsx,338,MOCK
src/components/NetworkSettings.tsx,112,REAL
src/components/PairingPanel.tsx,133,MOCK
src/components/PortViewPanel.tsx,271,REAL
src/components/ReplayEditor.tsx,143,MOCK
src/components/RosettaPanel.tsx,60,MOCK
src/components/Scene3D.tsx,81,REAL
src/components/diagnostics/NetworkDiagnostics.tsx,154,MOCK
src/components/panels/ui.tsx,148,REAL
src/config/agentGallery.ts,332,REAL
src/config/ai-models.ts,35,REAL
src/config/enterprise-nodes.ts,180,TODO
src/config/skills.ts,245,REAL
src/config/systemInstructions.ts,258,REAL
src/hooks/useSensors.ts,78,REAL
src/i18n/index.ts,35,REAL
src/i18n/locales/de.json,203,REAL
src/i18n/locales/en.json,203,REAL
src/index.css,60,REAL
src/lib/agent/agentEngine.ts,1125,MOCK
src/lib/agent/onnxRuntimeNodeStub.ts,16,STUB
src/lib/agent/transformersBackend.ts,75,REAL
src/lib/assetStore.ts,201,REAL
src/lib/bleWasm.ts,79,STUB
src/lib/deviceControl.ts,394,REAL
src/lib/endpoint.ts,202,REAL
src/lib/galleryStore.ts,230,REAL
src/lib/grabber.ts,372,REAL
src/lib/liveMetrics.ts,269,REAL
src/lib/mcpClient.ts,238,REAL
src/lib/packs.ts,146,REAL
src/lib/pageIngest.ts,525,REAL
src/lib/portview.ts,353,REAL
src/lib/pwa.ts,15,REAL
src/lib/rag.ts,437,REAL
src/lib/rosetta/rosettaConverter.ts,56,MOCK
src/lib/rosetta/types.ts,19,REAL
src/main.tsx,27,REAL
src/mocks/bleWasm.mock.ts,20,MOCK
src/mocks/devices.mock.ts,24,MOCK
src/mocks/pairing.mock.ts,16,MOCK
src/mocks/sensors.mock.ts,19,MOCK
tailwind.config.js,19,REAL
tsconfig.json,25,REAL
tsconfig.node.json,10,REAL
vite.config.ts,40,REAL
wasm-ble/BUILD.md,23,REAL
wasm-ble/Cargo.toml,17,REAL
wasm-ble/src/lib.rs,62,STUB
